Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20231123_paf_adw_adwaw_AS_LSC_C3,1,D:\,,,,BC3,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_E7,1,D:\,,,,BE7,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_Progenitors_B20,1,D:\,,,,RB20,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_C10,1,D:\,,,,BC10,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_E3,1,D:\,,,,RE3,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_F7,1,D:\,,,,BF7,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_A8,1,D:\,,,,RA8,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_A7,1,D:\,,,,BA7,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_D3,1,D:\,,,,BD3,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_Progenitors_A22,1,D:\,,,,BA22,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_B1,1,D:\,,,,RB1,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_F8,1,D:\,,,,BF8,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_F10,1,D:\,,,,BF10,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_E10,1,D:\,,,,BE10,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_Progenitors_A20,1,D:\,,,,RA20,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_Progenitors_A20,1,D:\,,,,BA20,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_C6,1,D:\,,,,RC6,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_F4,1,D:\,,,,RF4,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_B8,1,D:\,,,,RB8,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_C6,1,D:\,,,,BC6,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_B6,1,D:\,,,,BB6,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_E7,1,D:\,,,,RE7,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_Progenitors_D22,1,D:\,,,,RD22,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_Progenitors_F21,1,D:\,,,,RF21,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_F9,1,D:\,,,,RF9,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_E3,1,D:\,,,,BE3,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_C4,1,D:\,,,,RC4,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_D3,1,D:\,,,,RD3,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_B4,1,D:\,,,,RB4,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_Progenitors_D21,1,D:\,,,,RD21,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_D5,1,D:\,,,,RD5,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_E2,1,D:\,,,,RE2,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_F3,1,D:\,,,,BF3,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_C5,1,D:\,,,,RC5,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_E8,1,D:\,,,,RE8,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_E8,1,D:\,,,,BE8,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_C2,1,D:\,,,,BC2,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_C8,1,D:\,,,,RC8,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_D9,1,D:\,,,,BD9,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_B10,1,D:\,,,,BB10,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_B9,1,D:\,,,,BB9,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_A2,1,D:\,,,,RA2,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_F5,1,D:\,,,,RF5,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_B5,1,D:\,,,,RB5,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_F10,1,D:\,,,,RF10,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_Venetoclax_LSC_D1,1,D:\,,,,RD1,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_E1,1,D:\,,,,BE1,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_D6,1,D:\,,,,BD6,1.2,,,,,,,,,,,,
Unknown,20231123_paf_adw_adwaw_AS_LSC_B1,1,D:\,,,,BB1,1.2,,,,,,,,,,,,
